graph,KPBB,KPBB/RR,KPBB/StrongHeuris,KPBB/RefinedUB,KPLEX,kPlexS,DiseMKP
Network-Repository-soc-BlogCatalog-2,2629.4439,2669.7362,3620,3177.7235,3620,3620,3620
Network-Repository-soc-BlogCatalog-5,1000.6406,1638.8996,1322.4593,3620,3620,3620,3620
Network-Repository-soc-BlogCatalog-8,2076.6821,3620,2178.2613,3620,3620,3620,3620
Network-Repository-soc-BlogCatalog-10,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-BlogCatalog-15,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-BlogCatalog-20,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-BlogCatalog-ASU-2,17.6646,18.2197,21.2746,20.8665,127.3195,1008.9161,3620
Network-Repository-soc-BlogCatalog-ASU-5,4.2879,6.4619,4.4089,10.8666,1766.6819,3620,3620
Network-Repository-soc-BlogCatalog-ASU-8,2.4166,4.4967,4.2273,4.5714,938.2419,3620,3620
Network-Repository-soc-BlogCatalog-ASU-10,7.2189,19.5619,21.6011,24.2978,3620,3620,3620
Network-Repository-soc-BlogCatalog-ASU-15,124.5771,378.5741,1560.6538,526.7413,3620,3620,3620
Network-Repository-soc-BlogCatalog-ASU-20,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-FourSquare-2,8.8607,9.1075,3620,8.9088,11.0651,9.5924,3620
Network-Repository-soc-FourSquare-5,0.9448,0.7761,70.1627,0.9928,3.5875,1.9504,1663.4132
Network-Repository-soc-FourSquare-8,0.2333,0.2943,129.8991,0.3001,2.3123,1.8828,49.3704
Network-Repository-soc-FourSquare-10,0.2335,0.3006,1798.4723,0.2983,3.0366,2.812,1177.8048
Network-Repository-soc-FourSquare-15,0.456,0.4551,107.8052,0.4546,4.4293,4.3109,3620
Network-Repository-soc-FourSquare-20,0.4122,0.5413,3620,0.5447,4.495,4.8609,3620
Network-Repository-soc-google-plus-2,2.2558,2.4705,2.5143,2.5059,8.1623,61.5191,3620
Network-Repository-soc-google-plus-5,1.4065,1.3712,1.0827,3.3854,2804.4622,1108.6228,3620
Network-Repository-soc-google-plus-8,0.5695,2.6754,0.7089,18.5642,3620,3620,3620
Network-Repository-soc-google-plus-10,0.6524,3.5308,3.8791,27.8116,2679.7238,1037.5367,3620
Network-Repository-soc-google-plus-15,0.1243,0.1596,0.2815,0.1631,0.3299,0.3662,2567.2786
Network-Repository-soc-google-plus-20,0.1966,0.2634,0.27,0.2059,0.8347,0.7674,3620
Network-Repository-soc-livejournal-user-groups-2,1112.3887,1104.7731,1322.0461,1111.0398,849.7708,956.9362,3620
